Hotel Forty Two|Zagreb|3|D|Italy|10|everything was great. best hotel for the money from my travels so far|-
Hotel Forty Two|Zagreb|3|Aim-high|Bulgaria|9.6|Nicely renovated building, not too big with spacious rooms, modern design. Small but cute restaurant with delicious breakfast. There is a huge free parking lot just around the corner. Very helpful staff is taking care of you. Convenient location, close to supermarkets and tram station. The downtown is eight stops away.|-
Hotel Forty Two|Zagreb|3|Dejan|Slovenia|9.2|Small hotel, nice parking, nice room, nice bathroom, good bed, complete silence. Easy to find.|-
Hotel Forty Two|Zagreb|3|Mario|Croatia|9.2|Super clean and almost new. Location very central . Absolut to recommend for been around town and to explore zagreb city Life ..|-
Hotel Forty Two|Zagreb|3|Savu|Romania|9.6|Everything was as we expected! Clean, the jacuzzi in the room was great! I warmly recommend!|-
Hotel Forty Two|Zagreb|3|Cotiso|Romania|9.6|Nice staff, amazing Jacuzzi, good breakfast.|Not very close to the center
Hotel Forty Two|Zagreb|3|Ylber|Albania|7.5|Room|X
Hotel Forty Two|Zagreb|3|Resad|Bosnia and Herzegovina|8.8|Everything is ok|Maybe breakfast
Hotel Forty Two|Zagreb|3|Filip|Croatia|9.2|Very nice little hotel a little bit outside city centre. The hotel and the rooms are completely new, there is a lot of parking spaces in the neighbourhood and all in all is a great value for the money.|The breakfast is a little basic, but fair.
Hotel Forty Two|Zagreb|3|Ivan|Bosnia and Herzegovina|10|Clean rooms, nice staff, affordable price.|-
Hotel Forty Two|Zagreb|3|Adnan|Bosnia and Herzegovina|8.3|Nice and quiet neighbourhood, just fine for me|-
Hotel Forty Two|Zagreb|3|Peter|South Korea|9.2|friendly staff|no elevator
Hotel Forty Two|Zagreb|3|Norbertinho|Hungary|10|Excellent hotel for business. The bathroom was like in a hotel with 5*|-
Hotel Forty Two|Zagreb|3|Andreagoesaround|Italy|9.6|Close to tram line, very clean and cheap for the price we payed. Good breakfast. Staff very friendly and helpful. Very satisfied.|All ok
Hotel Forty Two|Zagreb|3|Lacković|Croatia|9.2|Good location. It is all new and nice looking.|They said there is a parking in Hotel but there isn't one. In description of the room is iron and ironing board but there isn't. Also it said there is elevator but again there isn't.
Hotel Forty Two|Zagreb|3|Ralitza|Bulgaria|10|Very clean place, warm and comfortable room, very helpful and friendly staff. Free wi fi, free parking nearby. Very reasonable room rates.|There is nothing I disliked. Maybe just the lack of an elevator but I didn't really mind. Limited variety of products for breakfast. Check-in by 24.00 h.
Hotel Forty Two|Zagreb|3|Niko10|Croatia|10|Great place and nice staff.|-
Hotel Forty Two|Zagreb|3|Marijana|Montenegro|10|Everything was perfect. Cleanliness, staff, location. Great girl Marina was very kind and she explained us everithing about town. I would like to recommend this place to everyone. Thank you so much, and see you soon again! :-)|-
Hotel Forty Two|Zagreb|3|Anton|Slovenia|10|Great hotel 😊|-
Hotel Forty Two|Zagreb|3|Matic|Slovenia|8.3|Very close to city center, tram is station is in close vicinity. Free public parking near the hotel and really helpful staff.|You can hear everything from the front lobby as the door has a small gap between the frame
Hotel Forty Two|Zagreb|3|Katja|Slovenia|9.2|Great view from the room, nice sunshine view of a town, best jacuzzi ever - more than big enough for two. They served us delicious coffee for a breakfast. No problem with a parking spot. Staff very helpful and nice. We will come back for sure!|We liked everything.
Hotel Forty Two|Zagreb|3|Adina|Switzerland|8.3|Comfy beds, room enough equipped for a 3 star, good for overnight stay. Breakfast limited but good, friendly staff.|No soundproof rooms, a little far from city center.
Hotel Forty Two|Zagreb|3|Drazen|Croatia|9.2|The young woman that was working on the reception was excellent person,very kind and great support for advice!Very clean and nice hotel for the money you spent!|Everything was nice!
Hotel Forty Two|Zagreb|3|Stanley|Croatia|7.1|wc|nothing special
Hotel Forty Two|Zagreb|3|Kim|United Kingdom|10|Very clean staff was very helpful and friendly|Nothing
Hotel Forty Two|Zagreb|3|Norbertinho|Hungary|10|Excellent hotel for business. The bathroom was like in a hotel with 5*|-
Hotel Forty Two|Zagreb|3|Adnan|Bosnia and Herzegovina|8.3|Nice and quiet neighbourhood, just fine for me|-
Hotel Forty Two|Zagreb|3|Andreagoesaround|Italy|9.6|Close to tram line, very clean and cheap for the price we payed. Good breakfast. Staff very friendly and helpful. Very satisfied.|All ok
Hotel Forty Two|Zagreb|3|Lacković|Croatia|9.2|Good location. It is all new and nice looking.|They said there is a parking in Hotel but there isn't one. In description of the room is iron and ironing board but there isn't. Also it said there is elevator but again there isn't.
Hotel Forty Two|Zagreb|3|Marijana|Montenegro|10|Everything was perfect. Cleanliness, staff, location. Great girl Marina was very kind and she explained us everithing about town. I would like to recommend this place to everyone. Thank you so much, and see you soon again! :-)|-
Hotel Forty Two|Zagreb|3|Niko10|Croatia|10|Great place and nice staff.|-
Hotel Forty Two|Zagreb|3|Peter|South Korea|9.2|friendly staff|no elevator
Hotel Forty Two|Zagreb|3|Ralitza|Bulgaria|10|Very clean place, warm and comfortable room, very helpful and friendly staff. Free wi fi, free parking nearby. Very reasonable room rates.|There is nothing I disliked. Maybe just the lack of an elevator but I didn't really mind. Limited variety of products for breakfast. Check-in by 24.00 h.
Hotel Forty Two|Zagreb|3|Anton|Slovenia|10|Great hotel 😊|-
Hotel Forty Two|Zagreb|3|Matic|Slovenia|8.3|Very close to city center, tram is station is in close vicinity. Free public parking near the hotel and really helpful staff.|You can hear everything from the front lobby as the door has a small gap between the frame
Hotel Forty Two|Zagreb|3|Drazen|Croatia|9.2|The young woman that was working on the reception was excellent person,very kind and great support for advice!Very clean and nice hotel for the money you spent!|Everything was nice!
Hotel Forty Two|Zagreb|3|Katja|Slovenia|9.2|Great view from the room, nice sunshine view of a town, best jacuzzi ever - more than big enough for two. They served us delicious coffee for a breakfast. No problem with a parking spot. Staff very helpful and nice. We will come back for sure!|We liked everything.
Hotel Forty Two|Zagreb|3|Adina|Switzerland|8.3|Comfy beds, room enough equipped for a 3 star, good for overnight stay. Breakfast limited but good, friendly staff.|No soundproof rooms, a little far from city center.
Hotel Forty Two|Zagreb|3|Amra|Bosnia and Herzegovina|10|Staff very kind|ventilation. in the morning smell from kitchen feels in rooms
Hotel Forty Two|Zagreb|3|Stanley|Croatia|7.1|wc|nothing special
Hotel Forty Two|Zagreb|3|Michelle|Croatia|7.5|The room was very clean.|We were on the ground floor next to the reception. Very poor soundproofing, we heard the staff talking as if they were in our room. Also the view from our window was quite disappointing. There were 4 garbage bags next to our window as well as other junk scattered.
Hotel Forty Two|Zagreb|3|Kim|United Kingdom|10|Very clean staff was very helpful and friendly|Nothing
Hotel Forty Two|Zagreb|3|T|Czech Republic|8.3|Quiet location. Jug kettle on the room.|No elevator. Very small desk on the room. Very soft mattress.
